ANO_ELEICAO,NR_TURNO,NM_MUNICIPIO,NR_ZONA,CD_CARGO,DS_CARGO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_SITUACAO_CANDIDATURA,SG_PARTIDO,NM_PARTIDO,QT_VOTOS_NOMINAIS,ST_VOTO_EM_TRANSITO,DS_SIT_TOT_TURNO,TOTAL_VOTOS,PROPORCAO,PORCENTAGEM
2018,1,RIO DE JANEIRO,246,7,Deputado Estadual,190000608704,LUCIA HELENA PINTO DE BARROS,LUCINHA,APTO,PSDB,Partido da Social Democracia Brasileira,8716,N,ELEITO POR QP,63041,0.13825922812138133,13.825922812138133
2018,1,RIO DE JANEIRO,246,7,Deputado Estadual,190000622243,THIAGO PAMPOLHA GONCALVES,THIAGO PAMPOLHA,APTO,PDT,Partido Democrático Trabalhista,2017,N,ELEITO POR QP,29090,0.06933654176693022,6.933654176693022
2018,1,RIO DE JANEIRO,246,7,Deputado Estadual,190000626477,JUCELIA OLIVEIRA FREITAS,TIA JU,APTO,PRB,Partido Republicano Brasileiro,1400,N,ELEITO POR QP,46533,0.030086175402402597,3.0086175402402597
2018,1,RIO DE JANEIRO,246,7,Deputado Estadual,190000611209,ROSANGELA DE OLIVEIRA ZEIDAN ,ZEIDAN ,APTO,PT,Partido dos Trabalhadores,1230,N,ELEITO POR QP,6314,0.19480519480519481,19.480519480519483
2018,1,RIO DE JANEIRO,246,7,Deputado Estadual,190000614774,RODRIGO MARTINS PIRES DE AMORIM ,RODRIGO AMORIM ,APTO,PSL,Partido Social Liberal,1195,N,ELEITO POR QP,69644,0.017158692780426168,1.7158692780426168
2018,1,RIO DE JANEIRO,246,6,Deputado Federal,190000614709,HELIO FERNANDO BARBOSA LOPES,HELIO FERNANDO BARBOSA LOPES,APTO,PSL,Partido Social Liberal,2786,N,ELEITO POR QP,176273,0.015805029698252142,1.5805029698252142
2018,1,RIO DE JANEIRO,246,6,Deputado Federal,190000602109,MARCELO RIBEIRO FREIXO,MARCELO FREIXO,APTO,PSOL,Partido Socialismo e Liberdade,2227,N,ELEITO POR QP,221191,0.010068221582252443,1.0068221582252443
2018,1,RIO DE JANEIRO,246,6,Deputado Federal,190000607923,FLORDELIS DOS SANTOS DE SOUZA,FLORDELIS,APTO,PSD,Partido Social Democrático,2061,N,ELEITO POR QP,62403,0.03302725830488919,3.3027258304889187
2018,1,RIO DE JANEIRO,246,6,Deputado Federal,190000615553,ALESSANDRO LUCCIOLA MOLON,ALESSANDRO MOLON,APTO,PSB,Partido Socialista Brasileiro,1516,N,ELEITO POR QP,144906,0.010461954646460464,1.0461954646460465
2018,1,RIO DE JANEIRO,246,6,Deputado Federal,190000607836,OTONI MOURA DE PAULO JUNIOR,OTONI DE PAULA,APTO,PSC,Partido Social Cristão,1424,N,ELEITO POR QP,47613,0.02990779829038288,2.990779829038288
2018,1,RIO DE JANEIRO,246,5,Senador,190000614721,FLÁVIO NANTES BOLSONARO,FLÁVIO BOLSONARO,APTO,PSL,Partido Social Liberal,35934,N,ELEITO,1643768,0.021860749205483986,2.1860749205483985
2018,1,RIO DE JANEIRO,246,5,Senador,190000607913,AROLDE DE OLIVEIRA,AROLDE DE OLIVEIRA,APTO,PSD,Partido Social Democrático,22676,N,ELEITO,762885,0.02972400820569286,2.9724008205692862
2018,2,RIO DE JANEIRO,246,3,Governador,190000612301,WILSON JOSÉ WITZEL,WILSON WITZEL,APTO,PSC,Partido Social Cristão,40206,N,ELEITO,1520888,0.026435871674968834,2.6435871674968836
2018,1,RIO DE JANEIRO,245,7,Deputado Estadual,190000608704,LUCIA HELENA PINTO DE BARROS,LUCINHA,APTO,PSDB,Partido da Social Democracia Brasileira,7436,N,ELEITO POR QP,63041,0.11795498167859013,11.795498167859012
2018,1,RIO DE JANEIRO,245,7,Deputado Estadual,190000614774,RODRIGO MARTINS PIRES DE AMORIM ,RODRIGO AMORIM ,APTO,PSL,Partido Social Liberal,1635,N,ELEITO POR QP,69644,0.02347653782091781,2.3476537820917813
2018,1,RIO DE JANEIRO,245,7,Deputado Estadual,190000614626,ALEXANDRE GOMES KNOPLOCH DOS SANTOS,ALEXANDRE KNOPLOCH,APTO,PSL,Partido Social Liberal,1145,N,ELEITO POR QP,55791,0.020523023426717572,2.0523023426717573
2018,1,RIO DE JANEIRO,245,7,Deputado Estadual,190000626477,JUCELIA OLIVEIRA FREITAS,TIA JU,APTO,PRB,Partido Republicano Brasileiro,1087,N,ELEITO POR QP,46533,0.023359766187436872,2.335976618743687
2018,1,RIO DE JANEIRO,245,7,Deputado Estadual,190000614618,ALANA DE OLIVEIRA PASSOS DE SOUZA,ALANA PASSOS,APTO,PSL,Partido Social Liberal,1082,N,ELEITO POR QP,59803,0.018092737822517264,1.8092737822517264
2018,1,RIO DE JANEIRO,245,6,Deputado Federal,190000614709,HELIO FERNANDO BARBOSA LOPES,HELIO FERNANDO BARBOSA LOPES,APTO,PSL,Partido Social Liberal,4077,N,ELEITO POR QP,176273,0.023128896654620958,2.312889665462096
2018,1,RIO DE JANEIRO,245,6,Deputado Federal,190000602109,MARCELO RIBEIRO FREIXO,MARCELO FREIXO,APTO,PSOL,Partido Socialismo e Liberdade,3667,N,ELEITO POR QP,221191,0.01657843221469228,1.6578432214692278
2018,1,RIO DE JANEIRO,245,6,Deputado Federal,190000615553,ALESSANDRO LUCCIOLA MOLON,ALESSANDRO MOLON,APTO,PSB,Partido Socialista Brasileiro,2192,N,ELEITO POR QP,144906,0.015127047879314867,1.5127047879314868
2018,1,RIO DE JANEIRO,245,6,Deputado Federal,190000607923,FLORDELIS DOS SANTOS DE SOUZA,FLORDELIS,APTO,PSD,Partido Social Democrático,1994,N,ELEITO POR QP,62403,0.0319535919747448,3.19535919747448
2018,1,RIO DE JANEIRO,245,6,Deputado Federal,190000614646,CARLOS ROBERTO COELHO DE MATTOS JÚNIOR,CARLOS JORDY,APTO,PSL,Partido Social Liberal,1843,N,ELEITO POR QP,75056,0.024554998934129185,2.4554998934129184
2018,1,RIO DE JANEIRO,245,5,Senador,190000614721,FLÁVIO NANTES BOLSONARO,FLÁVIO BOLSONARO,APTO,PSL,Partido Social Liberal,40267,N,ELEITO,1643768,0.024496765966973442,2.449676596697344
2018,1,RIO DE JANEIRO,245,5,Senador,190000607913,AROLDE DE OLIVEIRA,AROLDE DE OLIVEIRA,APTO,PSD,Partido Social Democrático,23032,N,ELEITO,762885,0.030190657831783298,3.0190657831783296
2018,2,RIO DE JANEIRO,245,3,Governador,190000612301,WILSON JOSÉ WITZEL,WILSON WITZEL,APTO,PSC,Partido Social Cristão,43949,N,ELEITO,1520888,0.02889693389651309,2.889693389651309
2018,1,RIO DE JANEIRO,243,7,Deputado Estadual,190000608704,LUCIA HELENA PINTO DE BARROS,LUCINHA,APTO,PSDB,Partido da Social Democracia Brasileira,4834,N,ELEITO POR QP,63041,0.07668025570660364,7.6680255706603635
2018,1,RIO DE JANEIRO,243,7,Deputado Estadual,190000601107,JORGE MIGUEL FELIPPE POYARES BETHLEM,JORGE FELIPPE NETO,APTO,PSD,Partido Social Democrático,1106,N,ELEITO POR QP,33598,0.03291862610869695,3.2918626108696944
2018,1,RIO DE JANEIRO,243,7,Deputado Estadual,190000614774,RODRIGO MARTINS PIRES DE AMORIM ,RODRIGO AMORIM ,APTO,PSL,Partido Social Liberal,845,N,ELEITO POR QP,69644,0.012133134225489632,1.2133134225489632
2018,1,RIO DE JANEIRO,243,7,Deputado Estadual,190000614626,ALEXANDRE GOMES KNOPLOCH DOS SANTOS,ALEXANDRE KNOPLOCH,APTO,PSL,Partido Social Liberal,706,N,ELEITO POR QP,55791,0.012654370776648563,1.2654370776648562
2018,1,RIO DE JANEIRO,243,7,Deputado Estadual,190000626477,JUCELIA OLIVEIRA FREITAS,TIA JU,APTO,PRB,Partido Republicano Brasileiro,686,N,ELEITO POR QP,46533,0.014742225947177272,1.4742225947177272
2018,1,RIO DE JANEIRO,243,6,Deputado Federal,190000614709,HELIO FERNANDO BARBOSA LOPES,HELIO FERNANDO BARBOSA LOPES,APTO,PSL,Partido Social Liberal,2493,N,ELEITO POR QP,176273,0.01414283526121414,1.414283526121414
2018,1,RIO DE JANEIRO,243,6,Deputado Federal,190000602109,MARCELO RIBEIRO FREIXO,MARCELO FREIXO,APTO,PSOL,Partido Socialismo e Liberdade,2233,N,ELEITO POR QP,221191,0.010095347459887608,1.009534745988761
2018,1,RIO DE JANEIRO,243,6,Deputado Federal,190000607425,PEDRO PAULO CARVALHO TEIXEIRA,PEDRO PAULO,APTO,DEM,Democratas,1436,N,ELEITO POR QP,46456,0.030910969519545375,3.0910969519545377
2018,1,RIO DE JANEIRO,243,6,Deputado Federal,190000615553,ALESSANDRO LUCCIOLA MOLON,ALESSANDRO MOLON,APTO,PSB,Partido Socialista Brasileiro,1128,N,ELEITO POR QP,144906,0.007784356755413855,0.7784356755413855
2018,1,RIO DE JANEIRO,243,6,Deputado Federal,190000607923,FLORDELIS DOS SANTOS DE SOUZA,FLORDELIS,APTO,PSD,Partido Social Democrático,1102,N,ELEITO POR QP,62403,0.017659407400285244,1.7659407400285245
2018,1,RIO DE JANEIRO,243,5,Senador,190000614721,FLÁVIO NANTES BOLSONARO,FLÁVIO BOLSONARO,APTO,PSL,Partido Social Liberal,23714,N,ELEITO,1643768,0.014426610081228008,1.4426610081228008
