ANO_ELEICAO,NR_TURNO,NM_MUNICIPIO,NR_ZONA,CD_CARGO,DS_CARGO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_SITUACAO_CANDIDATURA,SG_PARTIDO,NM_PARTIDO,QT_VOTOS_NOMINAIS,ST_VOTO_EM_TRANSITO,DS_SIT_TOT_TURNO,TOTAL_VOTOS,PROPORCAO,PORCENTAGEM
2016,1,RIO DE JANEIRO,252,13,Vereador,190000007443,LEANDRO LYRA BRAGA DOGNINI,LEANDRO LYRA,APTO,NOVO,Partido Novo,1405,N,ELEITO POR QP,29217,0.048088441660677,4.808844166067701
2016,1,RIO DE JANEIRO,252,13,Vereador,190000003426,TARCÍSIO MOTTA DE CARVALHO,TARCÍSIO MOTTA,APTO,PSOL,Partido Socialismo e Liberdade,1293,N,ELEITO POR QP,90473,0.014291556596995788,1.429155659699579
2016,1,RIO DE JANEIRO,252,13,Vereador,190000003414,MARIELLE FRANCISCO DA SILVA,MARIELLE FRANCO,APTO,PSOL,Partido Socialismo e Liberdade,1011,N,ELEITO POR QP,46502,0.021741000387080125,2.1741000387080125
2016,1,RIO DE JANEIRO,252,13,Vereador,190000005654,CESAR EPITÁCIO MAIA,CESAR MAIA,APTO,DEM,Democratas,867,N,ELEITO POR QP,71468,0.012131303520456709,1.2131303520456709
2016,1,RIO DE JANEIRO,252,13,Vereador,190000011815,CARLOS NANTES BOLSONARO,CARLOS BOLSONARO,APTO,PSC,Partido Social Cristão,758,N,ELEITO POR QP,106657,0.007106894062274394,0.7106894062274394
2016,2,RIO DE JANEIRO,252,11,Prefeito,190000017952,MARCELO BEZERRA CRIVELLA,CRIVELLA,APTO,PRB,Partido Republicano Brasileiro,10960,N,ELEITO,1700030,0.006446945053910813,0.6446945053910813
2016,1,RIO DE JANEIRO,246,13,Vereador,190000012852,TADEU AMORIM DE BARROS JUNIOR,JUNIOR DA LUCINHA,APTO,PMDB,Partido do Movimento Democrático Brasileiro,6160,N,ELEITO POR QP,45124,0.13651272050350147,13.651272050350146
2016,1,RIO DE JANEIRO,246,13,Vereador,190000011815,CARLOS NANTES BOLSONARO,CARLOS BOLSONARO,APTO,PSC,Partido Social Cristão,2167,N,ELEITO POR QP,106657,0.020317466270380752,2.0317466270380753
2016,1,RIO DE JANEIRO,246,13,Vereador,190000017884,JOÃO MENDES DE JESUS,JOÃO MENDES DE JESUS,APTO,PRB,Partido Republicano Brasileiro,1737,N,ELEITO POR QP,31516,0.05511486229216906,5.5114862292169065
2016,1,RIO DE JANEIRO,246,13,Vereador,190000010764,GILBERTO DE OLIVEIRA LIMA,DR GILBERTO,APTO,PMN,Partido da Mobilização Nacional,1673,N,ELEITO POR QP,12165,0.13752568845047267,13.752568845047266
