Zona,Bairro
4,BOTAFOGO
4,HUMAITA
4,FLAMENGO
4,URCA
5,"COPACABANA"
5,LEME
7,TIJUCA
8,"ENGENHONOVO"
8,RIACHUELO
8,JACARÉ
8,"MARIA DAGRAÇA"
8,ROCHA
8,CACHAMBI
8,MEIER
8,"DELCASTILHO"
9,"BARRA DATIJUCA"
9,CAMORIM
9,"VARGEMGRANDE"
9,"VARGEMPEQUENA"
9,RECREIO
10,"ÁGUASANTA"
10,"CASCADURA"
10,"ENCANTADO"
10,PIEDADE
10,"QUINTINOBOCAIUVA"
10,"OSWALDOCRUZ"
10,MADUREIRA
14,"ENCANTADO"
14,"ENGENHODE DENTRO"
14,PIEDADE
14,"CASCADURA"
14,"QUINTINOBOCAIUVA"
14,"CAVALCANTI"
14,PILARES
14,ABOLIÇÃO
14,"TOMÁSCOELHO"
16,"COSMEVELHO"
16,"LARANJEIRAS"
16,"SANTATERESA"
16,CATETE
16,GLÓRIA
16,"BAIRRO DEFÁTIMA"
16,LAPA
16,CATUMBI
17,LEBLON
17,GÁVEA
17,IPANEMA
17,"COPACABANA"
17,LAGOA
21,RAMOS
21,"BONSUCESSO"
21,"TOMÁSCOELHO"
21,"ENGENHODA RAINHA"
21,INHAUMA
21,"TOMASCOELHO"
21,OLARIA
22,COLÉGIO
22,IRAJÁ
22,"VILA DAPENHA"
22,"PARQUECOLÚMBIA"
22,PAVUNA
22,ACARI
23,GUADALUPE
23,DEODORO
23,"MARECHALHERMES"
23,"BENTORIBEIRO"
23,"VILAMILITAR"
24,BANGU
24,"SENADORCAMARÁ"
24,REALENGO
24,"PADREMIGUEL"
25,"SANTACRUZ"
25,SEPETIBA
25,"PEDRA DEGUARATIBA"
25,GUARATIBA
25,"NOVASEPETIBA"
26,CENTRO
26,VILAGE
26,"DUASPEDRAS"
26,"CATARCIONE"
26,YPU
26,"CHACARADO PARAISO"
26,VILA NOVA
26,VILA AMÉLIA
26,BRAUNES
26,"SÃOGERALDO"
26,VARGINHA
26,CORDOEIRA
26,"JARDIMOUROPRETO"
26,"CORREGODANTAS"
26,"GRANJASPINELLI"
26,TINGLY
26,NOVA SUIÇA
26,"PONTE DASAUDADE"
27,CENTRO
27,"BAIRRO DALUZ"
27,FACULDADE
27,CALIFORNIA
27,"SANTAEUGENIA"
27,JUSCELINO
27,MOQUETA
27,K-11
27,JACUTINGA
27,VILA NOVA
28,CENTRO
28,LIMOEIRO
28,PALHAS
28,LIBERDADE
28,"BARÃO DEANGRA"
28,"CARVALHAIS"
28,"VIEIRACORTEZ"
28,"VILASALUTÁRIS"
28,JATOBÁ
28,SARDOAL
28,"SERTÃO DOCALIXTO"
28,"INCONFIDÊNCIA"
28,WERNECK
28,INEMA
28,"QUEIMASANGUE"
28,CAVARU
28,"PARQUEMORONE"
28,BELA VISTA
28,ELDORADO
29,"ALTO DASERRA"
29,CENTRO
29,MORIN
29,QUISSAMÃ
29,"CHÁCARAFLORA"
29,CAXAMBU
29,"ESTRADADASAUDADE"
29,"CORONELVEIGA"
29,"MOINHOPRETO"
29,"CASTELANEA"
29,SIMÉRIA
29,"DUARTESILVEIRA"
29,"INDEPENDENCIA"
29,"QUITANDINHA"
29,"SÃOSEBASTIÃO"
29,MOSELA
29,CAPELA
29,BINGEN
29,"VALPARAISO"
29,"FAZENDAINGLESA"
30,CENTRO
30,"CASAAMARELA"
30,"SANTANÉSIA"
30,ARROZAL
30,VARJÃO
30,JAQUEIRA
30,"RIBEIRÃODAS LAJES"
30,"PONTE DASLARANJEIRAS"
30,"ROSAMACHADO"
30,"SERRA DOMATOSO"
30,CACARIA
30,"ACAMPAMENTO DALIGHT"
30,"PARQUEMAYRA"
30,BNH
30,KM 09
30,SÃO JORGE
30,PALMEIRAS
30,CAIÇARA
31,CENTRO
31,"JARDIMJALISCO"
31,MANEJO
31,LAVAPÉS
31,"CIDADE DAALEGRIA"
31,ALEGRIA
31,"MORADA DACOLINA"
31,"CIDADEALEGRIA"
31,"SANTOAMARO"
31,"NOVALIBERDADE"
31,SURUBI
31,ITAPUCA
31,TOYOTA I
31,"NOVOSURUBI"
31,VICENTINA
31,"VILAJULIETA"
31,"MIRANTEDASAGULHAS"
31,ALVORADA
32,BASÍLIO
32,BELA VISTA
32,BOQUEIRÃO
32,CENTRO
32,LAVRAS
32,MATA
32,"PRAÇA B.LOPES"
32,"PRAÇACRUZEIRO"
32,"RIO DOOURO"
32,"PARQUEINDIANO"
32,RIO SECO
32,VERTENTE
32,"BOAESPERANÇA"
32,"NOVACIDADE"
32,"RIOVERMELHO"
34,CENTRO
34,SAPAL
34,SAO FELIX
34,FERREIRA
34,BALTAZAR
34,"SANTACRUZ"
34,SAO PEDRO
34,"MARANGATU"
34,"VERDESCAMPOS"
34,"MONTEALEGRE"
34,CAMPELO
34,"PARAOQUENA"
34,IBITIGUACU
34,DEZESSETE
34,"ARRAIALZINHO"
34,BOA NOVA
34,GLORIA
34,"SANTALUZIA"
34,SAO LUIZ
34,SALGUEIRO
34,"MANGUEIRAO"
35,"BARÃO DEMACAÚBAS"
35,CENTRO
35,"ERNESTOMACHADO"
35,"VILA DOSCOROADOS"
35,MONTESE
35,RECREIO
35,GRUMARIM
35,IPUCA
35,PENEDO
35,PUREZA
35,TABUA
35,"SANTACATARINA"
35,"BARROBRANCO"
35,COLÔNIA
35,ANGELIM
35,CAMBIASCA
35,LAJE
35,"VALÃO DOSMILAGRES"
35,"BOAESPERANÇA"
35,"BARRA DOMACACO"
36,CENTRO
36,BOAÇU
36,"BRASILÂNDIA"
36,MUTUA
36,"PORTO DOROSA"
36,"FAZENDADOSMINEIROS"
36,MUTUAPIRA
36,ITAOCA
36,"ESTRELADO NORTE"
36,"NOVACIDADE"
36,MUTUÁ
37,ATAFONA
37,GRUSSAI
37,CENTRO
37,"AGUAPRETA"
37,"MATOESCURO"
37,"ESTRADADA CORUJA"
37,CAZUMBA
37,PALACETE
37,PIPEIRAS
37,BARCELOS
37,DEGREDO
37,"CAMPO DEAREIA"
37,ACU
37,CHATUBA
37,CAJUEIRO
37,"CARRAPICHO"
38,AGRIÕES
38,"BARRA DOIMBUÍ"
38,ERMITAGE
38,"PIMENTEIRAS"
38,TIJUCA
38,VÁRZEA
38,PRATA
38,VILA MUQUI
38,"JARDIMPINHEIROS"
38,"QUEBRAFRASCOS"
38,"CORTAVENTO"
38,"ALBUQUERQUE"
38,CANOAS
38,"GRANJAFLORESTAL"
38,"PARQUE DOIMBUÍ"
38,POSSE
38,"FONTESANTA"
38,CALEME
38,FISCHER
38,FEO
40,CANTAGALO
40,CENTRO
40,"AFONSOARINOS"
40,"MONTSERRAT"
40,FABRICA
40,"FONSECAALMEIDA"
40,"MORRO DACTB"
40,GULF
40,GROTAO
40,"NOVANITERÓI"
41,"CARVALHEIRA"
41,CENTRO
41,"CENTENÁRIO"
41,RESIDÊNCIA
41,"BARÃO DEVASSOURAS"
41,"DEMÉTRIORIBEIRO"
41,ITAKAMOSI
41,"ESQUINA DAALEGRIA"
41,GRECCO
41,TINGUÁ
41,CANANÉIA
41,"ANDRADEPINTO"
41,"ANDRADECOSTA"
41,FERREIROS
41,PIRAUÍ
41,"CAPIMD'ANGOLA"
41,"MASSAMBARÁ"
41,IPIRANGA
41,POCINHOS
41,MADRUGA
41,MANCUSI
41,GLÓRIA
42,CENTRO
42,SÃO MIGUEL
42,"PONTEBERÇOT"
42,"SÃO JOSÉDORIBEIRÃO"
42,BANQUETE
42,DISTRITO
42,"CÓRREGODE SANTOANTONIO"
42,"BARRAALEGRE"
42,"RIBEIRÃODE SÃODOMINGOS"
42,"ALTO DESÃO JOSÉ"
42,VELOSO
42,"CAMPOBELO"
42,"BEM-TE-VIAMARELO"
42,"JARDIM BOAESPERANÇA"
42,MONNERAT
42,"VARGEMGRANDE"
42,HOLOFOTE
42,"FAZENDADO CAMPO"
43,LIBERDADE
43,CENTRO
43,BALNEARIO
43,SINDICATO
43,"VILA DAPRATA"
43,OURANIA
43,QUERENDO
43,"MORADA DOENGENHO"
45,CENTRO
45,ILHA
45,PURILÂNDIA
45,"SANTACLARA"
45,CAETÉ
45,BATE-PAU
45,"JOÃOFRANCISCOBRAZ"
45,"SANTOANTÔNIO"
45,CRISTO REI
48,CENTRO
48,"MARCO DACOSTA"
48,"PARQUEGUARARAPES"
48,VERA CRUZ
48,ARCÁDIA
48,"BARÃO DEJAVARI"
48,"CENTRO -GOV.PORTELA"
48,"RECREIO -GOV.PORTELA"
48,"ROSEIRAL -GOV.PORTELA"
48,CONRADO
48,"MANGUEIRAS"
48,PAES LEME
48,"LAGOA DASLONTRAS"
48,"VALE DASPRINCESAS"
48,ARCOZELO
48,"PEDRASRUIVAS"
48,PALMARES
48,BELA VISTA
48,MARAVILHA
48,COQUEIROS
48,CAPIVARA
48,POAIA
48,"CENTRO -AVELAR"
48,"GRANJACALIFÓRNIA- AVELAR"
48,"HORIZONTEAVELAR"
48,"VISTAALEGRE -AVELAR"
48,GOIABAL
48,PANTANAL
48,"FRANCISCOFRAGOSO"
49,"BOCA DOMATO"
49,"CAMPO DOPRADO"
49,CENTRO
49,"GANGURIDE BAIXO"
49,"PARQUESANTALUIZA"
49,"FARAO DECIMA"
49,FUNCHAL
49,JAPUIBA
49,MARUBAI
49,PAPUCAIA
49,"PARQUERIBEIRA"
49,GUAPIACU
49,AREAL
49,"SAO JOSEDA BOAMORTE"
49,VECCHI
49,QUIZANGA
49,"AGROBRASIL"
49,MATUMBO
49,CASTALIA
49,MARAPORA
49,"SAOFRANCISCODE ASSIS"
49,BOA VISTA
49,SETENTA
49,BOA SORTE
49,"VILA AGROBONANZA"
50,MATARUNA
50,CENTRO
50,"PROFESSOR SOUZA"
50,QUILOMBO
50,"BARRA DESAO JOAO"
50,"RIODOURADO"
50,"BOAESPERANCA"
50,"BAIRROINDUSTRIAL"
50,PALMITAL
50,"JARDIMAPARECIDA"
50,"PEIXEDOURADO II"
50,"ZONARURAL"
51,CENTRO
51,BOCAINA
51,GARAPA
51,VILA NOVA
51,"MACABUZINHO"
51,PORTO
51,PITEIRA
51,RHÓDIA
51,FEEM
51,"VILA SÃOJOSÉ"
51,"VILATAVARES"
51,"CURATO DESANTACATARINA"
51,USINA
51,CAPELINHA
51,BALANCÉ
51,"CALÇADINHA"
51,"VISCONDEDE IMBÉ"
51,"BARRA DOSPASSOS"
51,"MONTECAFÉ"
51,TAPERA
51,"SODRELÂNDIA"
51,"MARIAMENDONÇA"
51,LAGOINHA
51,"SERRA DASALMAS"
51,"PONTENOVA"
51,"PONTE DEZINCO"
52,CENTRO
52,"SANTOANTONIO"
52,"RODOLFOGONÇALVES"
52,IPERJ
52,LAVRINHAS
52,"RETIROPOÉTICO"
52,MANANCIAL
52,RETA
52,DOIS VALOS
52,"JARDIM DEALAH"
52,BARREIRA
52,"SÃOMANOEL"
52,"VOLTA DOUMBIGO"
54,CENTRO
54,"PRAIA DOSACO"
54,"SERRA DOPILOTO"
54,IBICUI
54,"CONCEICAODE JACAREI"
54,ITACURUÇÁ
54,MURIQUI
54,"PRAIAGRANDE"
54,JUNQUEIRA
55,CENTRO
55,FLAMENGO
55,"BARRA DEMARICÁ"
55,ITAPEBA
55,"MANOELRIBEIRO"
55,"PONTANEGRA"
55,BANANAL
55,UBATIBA
55,ESPRAIADO
55,"CORDEIRINHO"
55,LAGARTO
55,GUARATIBA
55,INOÃ
55,"SÃO JOSÉDOIMBASSAÍ"
55,SPAR
55,"RECANTODEITAIPUAÇU"
55,"JARDIMATLÂNTICOCENTRAL"
