ANO_ELEICAO,NR_ZONA,BAIRRO,SQ_CANDIDATO,NM_CANDIDATO,NM_PARTIDO,QT_VOTOS_NOMINAIS,DS_SIT_TOT_TURNO,ENDEREÇO,total_votos,proporcao
2016,9,BARRA DA TIJUCA,190000005647,ALEXANDRE ISQUIERDO MOREIRA,Democratas,383,ELEITO POR QP,AV AYRTON SENNA 2001 BLOCO C,13530,0.028307464892830748
2016,169,SAUDE,190000005650,CARLO FERREIRA DE CAIADO CASTRO,Democratas,61,ELEITO POR QP,"RUA SACADURA CABRAL, 226, FUNDOS",21743,0.0028055006208894816
2016,170,MARACANÃ,190000005647,ALEXANDRE ISQUIERDO MOREIRA,Democratas,94,ELEITO POR QP,"AV. PROFESSOR MANUEL DE ABREU, 286",13530,0.006947524020694752
2016,122,CAMPO GRANDE,190000017874,TÂNIA CRISTINA MAGALHÃES BASTOS E SILVA,Partido Republicano Brasileiro,29,ELEITO POR QP,"ESTRADA RIO-SÃO PAULO, 176, CAMPO GRANDE",16352,0.0017734833659491193
2016,242,CAMPO GRANDE,190000017884,JOÃO MENDES DE JESUS,Partido Republicano Brasileiro,1092,ELEITO POR QP,AV. CESARIO DE MELLO 3963,22697,0.04811208529761642
2016,170,MARACANÃ,190000017874,TÂNIA CRISTINA MAGALHÃES BASTOS E SILVA,Partido Republicano Brasileiro,221,ELEITO POR QP,"AV. PROFESSOR MANUEL DE ABREU, 286",16352,0.013515166340508806
2016,10,PIEDADE,190000017884,JOÃO MENDES DE JESUS,Partido Republicano Brasileiro,90,ELEITO POR QP,"RUA ASSIS CARNEIRO, 436",22697,0.003965281755298057
2016,188,VILA DA PENHA,190000017884,JOÃO MENDES DE JESUS,Partido Republicano Brasileiro,683,ELEITO POR QP,"AV. VICENTE DE CARVALHO, 909, LJ. 115/116, 2 PISO, CARIOCA SHOPPING",22697,0.030092082654095256
2016,243,SANTA CRUZ,190000003396,DAVID MICHAEL DOS SANTOS MIRANDA,Partido Socialismo e Liberdade,16,ELEITO POR MÉDIA,RUA MARTINHO DE CAMPOS S/N,3702,0.004321988114532685
2016,246,SANTA CRUZ,190000005647,ALEXANDRE ISQUIERDO MOREIRA,Democratas,273,ELEITO POR QP,RUA MARTINHO DE CAMPOS S/N  POSTO AGRÍCOLA,13530,0.020177383592017737
2016,118,CASCADURA,190000007100,LUIS ANTONIO DA COSTA RAMOS,Partido Trabalhista Nacional,134,ELEITO POR QP,"AV. DOM HELDER CAMARA, 10.121",5595,0.023949955317247543
2016,25,SANTA CRUZ,190000003396,DAVID MICHAEL DOS SANTOS MIRANDA,Partido Socialismo e Liberdade,29,ELEITO POR MÉDIA,PRAÇA DA SUPERINTENDÊNCIA 420,3702,0.007833603457590491
2016,216,DEL CASTILHO,190000003406,LEONEL BRIZOLA,Partido Socialismo e Liberdade,89,ELEITO POR MÉDIA,AV DOM HELDER CAMARA 4175 - 2 ANDAR,6413,0.013878060190238578
2016,119,BARRA DA TIJUCA,190000003406,LEONEL BRIZOLA,Partido Socialismo e Liberdade,185,ELEITO POR MÉDIA,AV. AYRTON SENNA 2001 BLOCO C,6413,0.028847653204428506
2016,216,DEL CASTILHO,190000012007,JORGE HENRIQUE MARTINS MANAIA,Solidariedade,135,ELEITO POR MÉDIA,AV DOM HELDER CAMARA 4175 - 2 ANDAR,8460,0.015957446808510637
2016,245,CAMPO GRANDE,190000010764,GILBERTO DE OLIVEIRA LIMA,Partido da Mobilização Nacional,1781,ELEITO POR QP,"RUA DOM PEDRITO, 1, 2 ANDAR - XVIII ADMINISTRAÇÃO REGIONAL",9846,0.18088563883810685
2016,162,OLARIA,190000010764,GILBERTO DE OLIVEIRA LIMA,Partido da Mobilização Nacional,12,ELEITO POR QP,"RUA FILOMENA NUNES, 961",9846,0.001218769043266301
2016,162,OLARIA,190000003852,MARCELO ARAR,Partido Trabalhista Brasileiro,66,ELEITO POR QP,"RUA FILOMENA NUNES, 961",9562,0.006902321690023008
2016,245,CAMPO GRANDE,190000003852,MARCELO ARAR,Partido Trabalhista Brasileiro,67,ELEITO POR QP,"RUA DOM PEDRITO, 1, 2 ANDAR - XVIII ADMINISTRAÇÃO REGIONAL",9562,0.007006902321690023
2016,122,CAMPO GRANDE,190000003852,MARCELO ARAR,Partido Trabalhista Brasileiro,92,ELEITO POR QP,"ESTRADA RIO-SÃO PAULO, 176, CAMPO GRANDE",9562,0.009621418113365405
2016,21,OLARIA,190000012659,MARCELLO MORAES SICILIANO,Partido Humanista da Solidariedade,113,ELEITO POR QP,RUA FILOMENA NUNES 971,10535,0.010726150925486474
2016,216,DEL CASTILHO,190000012659,MARCELLO MORAES SICILIANO,Partido Humanista da Solidariedade,53,ELEITO POR QP,AV DOM HELDER CAMARA 4175 - 2 ANDAR,10535,0.005030849549121974
2016,17,JARDIM BOTÂNICO,190000012659,MARCELLO MORAES SICILIANO,Partido Humanista da Solidariedade,59,ELEITO POR QP,RUA JARDIM BOTÂNICO 1060,10535,0.005600379686758424
2016,179,BARRA DA TIJUCA,190000012659,MARCELLO MORAES SICILIANO,Partido Humanista da Solidariedade,1423,ELEITO POR QP,AV. AYRTON SENNA 2001 BLOCO C BARRA DA TIJUCA,10535,0.1350735643094447
2016,218,CASCADURA,190000024880,JONES BARBOSA DE MOURA,Partido Social Democrático,145,ELEITO POR QP,"RUA SIDÔNIO PAIS, 54, LOJAS 4 E 5",8086,0.017932228543161018
2016,241,SANTA CRUZ,190000011861,OTONI MOURA DE PAULO JUNIOR,Partido Social Cristão,24,ELEITO POR QP,RUA MARTINHO DE CAMPOS S/N POSTO AGRICOLA,5939,0.0040410843576359655
2016,242,CAMPO GRANDE,190000011861,OTONI MOURA DE PAULO JUNIOR,Partido Social Cristão,21,ELEITO POR QP,AV. CESARIO DE MELLO 3963,5939,0.00353594881293147
2016,219,CASCADURA,190000011816,CLAUDIO BONFIM DE CASTRO E SILVA,Partido Social Cristão,60,ELEITO POR QP,"RUA SIDÔNIO PAES, 54 LOJA 06",6304,0.00951776649746193
2016,188,VILA DA PENHA,190000011815,CARLOS NANTES BOLSONARO,Partido Social Cristão,646,ELEITO POR QP,"AV. VICENTE DE CARVALHO, 909, LJ. 115/116, 2 PISO, CARIOCA SHOPPING",65123,0.009919690431951844
2016,188,VILA DA PENHA,190000011861,OTONI MOURA DE PAULO JUNIOR,Partido Social Cristão,32,ELEITO POR QP,"AV. VICENTE DE CARVALHO, 909, LJ. 115/116, 2 PISO, CARIOCA SHOPPING",5939,0.005388112476847954
2016,176,IRAJÁ,190000009372,JOSE RENATO CARDOZO MOURA,Partido Democrático Trabalhista,119,ELEITO POR QP,"AV MONSENHOR FELIX, 512",8919,0.013342302948761072
2016,162,OLARIA,190000009372,JOSE RENATO CARDOZO MOURA,Partido Democrático Trabalhista,32,ELEITO POR QP,"RUA FILOMENA NUNES, 961",8919,0.0035878461710954143
2016,211,JARDIM BOTÂNICO,190000009372,JOSE RENATO CARDOZO MOURA,Partido Democrático Trabalhista,24,ELEITO POR QP,"RUA JARDIM BOTÂNICO, N.1060",8919,0.0026908846283215607
2016,23,MARECHAL HERMES,190000005654,CESAR EPITÁCIO MAIA,Democratas,422,ELEITO POR QP,RUA JOAO VICENTE 1545,40318,0.010466789027233494
2016,16,LARANJEIRAS,190000005654,CESAR EPITÁCIO MAIA,Democratas,835,ELEITO POR QP,RUA CONDE DE BAEPENDI N 40,40318,0.020710352696066272
2016,17,JARDIM BOTÂNICO,190000003607,VERA LUCIA FERREIRA LINS,Partido Progressista,48,ELEITO POR QP,RUA JARDIM BOTÂNICO 1060,20918,0.0022946744430633902
2016,24,JARDIM SULACAP,190000003606,MARCELINO ANTONIO D ALMEIDA,Partido Progressista,1845,ELEITO POR QP,"AVENIDA MARECHAL FONTENELLE, 3.545, TÉRREO - SHOPPING SULACAP",12136,0.15202702702702703
